aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,buildingAge,isHighFloor,dealYearMonth,dealQuarter
306,우장산롯데캐슬,2003,개인, , ,110000,29,3,2025,중개거래,서울 강서구,85.0,14,1145,N,25.07.01,11500,개인,화곡동,22,0,2025-03,1
 ,청솔102동,1997,개인, , ,56991,17,3,2025,직거래, ,117.69,7,673-14,N,25.07.01,11500,개인,내발산동,28,0,2025-03,1
 ,강변,1992,개인, , ,73000,29,3,2025,중개거래,서울 강서구,49.5,4,1475,N, ,11500,개인,가양동,33,0,2025-03,1
703,마곡엠밸리7단지,2014,개인, , ,170000,8,3,2025,중개거래,서울 강서구,84.91,12,743-4,N,25.06.23,11500,개인,마곡동,11,0,2025-03,1
410,마곡수명산파크4단지,2008,개인, , ,90000,23,3,2025,중개거래,서울 강서구,59.84,10,753,N,25.07.25,11500,개인,내발산동,17,0,2025-03,1
 ,등촌동아이파크,2004,개인, , ,123000,10,3,2025,중개거래,서울 강서구,134.8836,9,715,N, ,11500,개인,등촌동,21,0,2025-03,1
103,강서쌍용예가,2014,개인, , ,101000,20,3,2025,중개거래,서울 강서구,84.9025,18,308,N,25.06.30,11500,개인,염창동,11,1,2025-03,1
 ,요산페어뷰,2013,개인, , ,45000,6,3,2025,중개거래,서울 강서구,73.8,2,377-21,N,25.06.16,11500,개인,화곡동,12,0,2025-03,1
2,신동아,1995,개인, , ,67500,22,3,2025,중개거래,서울 강서구,59.82,9,289,N,25.07.31,11500,개인,염창동,30,0,2025-03,1
 ,주공3,1995,개인, , ,57400,3,3,2025,중개거래,서울 강서구,37.67,6,688,N, ,11500,개인,등촌동,30,0,2025-03,1
102,마곡금호어울림,2005,개인, , ,91000,15,3,2025,중개거래,서울 강서구,84.948,11,717,N,25.06.27,11500,개인,마곡동,20,0,2025-03,1
105,강변한솔솔파크,2005,개인, , ,107000,25,3,2025,중개거래,서울 강서구,84.97,23,300,N,25.07.04,11500,개인,염창동,20,1,2025-03,1
 ,스위트드림아파트,2019,개인, , ,43000,29,3,2025,중개거래,서울 강서구,49.53,4,1168,N,25.05.16,11500,법인,화곡동,6,0,2025-03,1
 ,요산페어뷰,2013,개인, , ,45000,6,3,2025,중개거래,서울 강서구,73.8,2,377-21,N,25.06.16,11500,개인,화곡동,12,0,2025-03,1
1403,마곡엠벨리(14단지),2014,개인, , ,178000,29,3,2025,중개거래,서울 강서구,114.86,6,750,N,25.07.18,11500,개인,마곡동,11,0,2025-03,1
108,초록,1998,개인, , ,70000,26,3,2025,중개거래,서울 강서구,59.34,4,1139,N,25.07.29,11500,개인,화곡동,27,0,2025-03,1
101,가양강나루현대,1999,개인, , ,89500,1,3,2025,중개거래,"서울 강서구, 서울 서초구",59.76,11,448-1,N,25.06.20,11500,개인,가양동,26,0,2025-03,1
 ,가양강나루현대,1999,개인,25.04.28,O,89500,1,3,2025,중개거래,"서울 강서구, 서울 서초구",59.76,11,448-1,N, ,11500,개인,가양동,26,0,2025-03,1
1018동,마곡엠밸리10단지,2016,개인, , ,136000,14,3,2025,중개거래,서울 강서구,84.89,10,747,N,25.07.15,11500,개인,마곡동,9,0,2025-03,1
106,동성,1993,개인, , ,60000,28,3,2025,중개거래,서울 강서구,64.65,1,817,N,25.04.24,11500,개인,방화동,32,0,2025-03,1
 ,태영,1999,개인, , ,70000,26,3,2025,직거래, ,84.93,2,270-1,N, ,11500,개인,염창동,26,0,2025-03,1
603,가양6단지,1992,개인, , ,73500,11,3,2025,중개거래,서울 강서구,49.5,10,1485,N,25.06.09,11500,개인,가양동,33,0,2025-03,1
101동,신마곡벽산블루밍,2020,개인, , ,89500,26,3,2025,직거래, ,72.8607,5,904,N,25.06.25,11500,개인,방화동,5,0,2025-03,1
101,화곡1차보람더하임,2003,개인, , ,40000,26,3,2025,직거래, ,68.37,11,1087,N,25.04.23,11500,개인,화곡동,22,0,2025-03,1
1,NS파크APT,2018,개인, , ,25500,26,3,2025,중개거래,서울 강서구,29.93,4,1076-9,N,25.05.27,11500,개인,화곡동,7,0,2025-03,1
612,가양6단지,1992,개인, , ,79000,29,3,2025,중개거래,"서울 강서구, 서울 용산구",49.5,15,1485,N,25.06.20,11500,개인,가양동,33,1,2025-03,1
 ,우장산롯데캐슬,2003,개인,25.07.01,O,110000,29,3,2025,중개거래,서울 강서구,85.0,14,1145,N, ,11500,개인,화곡동,22,0,2025-03,1
 ,빛고을우방,1999,개인, , ,75500,26,3,2025,중개거래,서울 강서구,59.97,15,448-9,N, ,11500,개인,가양동,26,1,2025-03,1
 ,강변,1992,개인,25.06.10,O,73000,29,3,2025,중개거래,서울 강서구,49.5,4,1475,N, ,11500,개인,가양동,33,0,2025-03,1
305,동아3,1999,개인, , ,105000,25,3,2025,중개거래,서울 강서구,84.87,15,258-1,N,25.07.25,11500,개인,염창동,26,1,2025-03,1
 ,동아3,1999,개인, , ,81500,24,3,2025,중개거래,서울 강서구,59.7,3,258-1,N, ,11500,개인,염창동,26,0,2025-03,1
607,가양6단지,1992,개인, , ,83500,4,3,2025,중개거래,서울 강서구,58.65,14,1485,N,25.06.30,11500,개인,가양동,33,0,2025-03,1
 ,우장산타워빌,2002,개인, , ,69500,26,3,2025,중개거래,서울 강서구,83.8,3,704-2,N,25.06.16,11500,개인,내발산동,23,0,2025-03,1
 ,길성그랑프리텔,2002,개인, , ,75000,21,3,2025,중개거래,서울 강서구,62.65,5,867,N,25.05.16,11500,개인,방화동,23,0,2025-03,1
103,삼정그린코아,2001,개인, , ,104500,24,3,2025,중개거래,서울 강서구,84.358,8,282,N,25.06.09,11500,개인,염창동,24,0,2025-03,1
 ,세한(410-150),2001,개인, , ,30000,27,3,2025,중개거래,서울 강서구,72.99,2,410-150,N,25.05.16,11500,개인,화곡동,24,0,2025-03,1
1동,마곡에이치밸리움,2023,개인, , ,72500,28,3,2025,중개거래,서울 강서구,52.218,5,764,N,25.05.29,11500,개인,내발산동,2,0,2025-03,1
101,삼성하나로,1994,개인, , ,59500,29,3,2025,중개거래,서울 강서구,59.26,1,248-3,N,25.06.27,11500,개인,염창동,31,0,2025-03,1
113,강서힐스테이트,2015,개인, , ,136000,24,3,2025,중개거래,서울 강서구,84.99,11,1165,N,25.07.02,11500,개인,화곡동,10,0,2025-03,1
101,무학,1999,개인, , ,70500,8,3,2025,중개거래,서울 강서구,59.38,2,255,N,25.06.09,11500,개인,염창동,26,0,2025-03,1
202,가양2단지(성지),1992,개인, , ,60000,27,3,2025,중개거래,"경기 남양주시, 서울 강서구",39.6,9,1461,N,25.07.25,11500,개인,가양동,33,0,2025-03,1
 ,성재센트리움아파트(343-35),2015,개인, , ,22500,28,3,2025,직거래, ,22.52,7,343-35,N,25.04.17,11500,개인,화곡동,10,0,2025-03,1
103,우장산롯데,2004,개인, , ,78000,27,3,2025,중개거래,서울 강서구,84.98,6,1148,N,25.06.12,11500,개인,화곡동,21,0,2025-03,1
109,강서힐스테이트,2015,개인, , ,115000,8,3,2025,중개거래,서울 강서구,59.99,15,1165,N,25.06.13,11500,개인,화곡동,10,1,2025-03,1
202,가양2단지(성지),1992,개인, , ,60800,20,3,2025,중개거래,서울 강서구,39.6,14,1461,N,25.06.27,11500,개인,가양동,33,0,2025-03,1
104,강변한솔솔파크,2005,개인, , ,101000,28,3,2025,중개거래,"서울 강서구, 서울 영등포구",84.97,7,300,N,25.06.17,11500,개인,염창동,20,0,2025-03,1
805,"등촌7,8단지주공아파트",1994,개인, , ,57500,21,3,2025,중개거래,서울 강서구,41.85,13,707,N,25.06.30,11500,개인,등촌동,31,0,2025-03,1
 ,강변,1992,개인, , ,58000,29,3,2025,중개거래,서울 강서구,39.6,6,1475,N, ,11500,개인,가양동,33,0,2025-03,1
122,등촌동아이파크,2004,개인, , ,97000,28,3,2025,중개거래,서울 강서구,84.9958,10,715,N,25.06.30,11500,개인,등촌동,21,0,2025-03,1
105,무학,1999,개인, , ,72700,27,3,2025,중개거래,서울 강서구,59.38,4,255,N,25.06.05,11500,개인,염창동,26,0,2025-03,1
129,강서힐스테이트,2015,개인, , ,115000,19,3,2025,중개거래,서울 강서구,59.99,19,1165,N,25.06.30,11500,개인,화곡동,10,1,2025-03,1
 ,마곡엠벨리(14단지),2014,개인,25.05.07,O,178000,29,3,2025,중개거래,서울 강서구,114.86,6,750,N, ,11500,개인,마곡동,11,0,2025-03,1
101,빛고을우방,1999,개인, , ,78000,15,3,2025,중개거래,서울 강서구,84.9,18,448-9,N,25.05.27,11500,개인,가양동,26,1,2025-03,1
1201,마곡중앙하이츠아파트,1994,개인, , ,38000,24,3,2025,중개거래,서울 강서구,39.58,4,852,N,25.07.03,11500,개인,방화동,31,0,2025-03,1
304,강변,1992,개인, , ,53400,18,3,2025,중개거래,서울 강서구,34.44,15,1475,N,25.07.31,11500,개인,가양동,33,1,2025-03,1
101,방화3차우림필유,2005,개인, , ,71000,31,3,2025,중개거래,서울 강서구,84.57,5,546-1,N,25.04.30,11500,개인,방화동,20,0,2025-03,1
 ,강서힐스테이트,2015,개인,25.04.18,O,115000,8,3,2025,중개거래,서울 강서구,59.99,15,1165,N, ,11500,개인,화곡동,10,1,2025-03,1
3,염창동한강우성,1990,개인, , ,70150,25,3,2025,중개거래,서울 강서구,65.88,4,66-9,N,25.05.30,11500,개인,염창동,35,0,2025-03,1
130,화곡푸르지오,2002,개인, , ,121000,25,3,2025,중개거래,서울 강서구,144.123,3,1091,N,25.05.16,11500,개인,화곡동,23,0,2025-03,1
103,관음삼성,1997,개인, , ,80500,22,3,2025,중개거래,서울 강서구,59.96,19,268,N,25.06.04,11500,개인,염창동,28,1,2025-03,1
101,삼성하나로,1994,개인, , ,58000,29,3,2025,중개거래,서울 강서구,59.26,3,248-3,N,25.05.16,11500,개인,염창동,31,0,2025-03,1
307,주공3,1995,개인, , ,80000,26,3,2025,중개거래,서울 강서구,58.14,4,688,N,25.05.16,11500,개인,등촌동,30,0,2025-03,1
102,가양강나루현대,1999,개인, , ,85000,29,3,2025,중개거래,서울 강서구,59.76,8,448-1,N,25.06.26,11500,개인,가양동,26,0,2025-03,1
609,가양6단지,1992,개인, , ,65000,26,3,2025,중개거래,"서울 강서구, 서울 금천구",39.6,7,1485,N,25.06.27,11500,개인,가양동,33,0,2025-03,1
104,현대1,1994,개인, , ,85500,29,3,2025,중개거래,"서울 강서구, 서울 서초구",84.34,5,288,N,25.06.24,11500,개인,염창동,31,0,2025-03,1
 ,청솔,1994,개인, , ,42800,26,3,2025,중개거래,서울 강서구,39.36,9,832,N, ,11500,개인,방화동,31,0,2025-03,1
102,한진로즈힐,2004,개인, , ,80500,24,3,2025,중개거래,서울 강서구,84.93,3,579,N,25.06.30,11500,개인,방화동,21,0,2025-03,1
301,염창3차보람,2006,개인, , ,81000,24,3,2025,중개거래,서울 강서구,84.98,8,301,N,25.07.21,11500,개인,염창동,19,0,2025-03,1
303,강변,1992,개인, , ,73000,20,3,2025,중개거래,서울 강서구,49.5,1,1475,N,25.07.01,11500,개인,가양동,33,0,2025-03,1
 ,부영,1994,개인, , ,88400,8,3,2025,중개거래,서울 강서구,80.64,5,691-3,N, ,11500,개인,등촌동,31,0,2025-03,1
102,강변한솔솔파크,2005,개인, , ,105000,29,3,2025,중개거래,서울 강서구,84.97,24,300,N,25.06.10,11500,개인,염창동,20,1,2025-03,1
103,장미,1994,개인, , ,42300,22,3,2025,중개거래,서울 강서구,39.96,4,841,N,25.06.05,11500,개인,방화동,31,0,2025-03,1
215,방화그린,1993,개인, , ,42450,22,3,2025,중개거래,서울 강서구,39.76,15,839,N,25.06.26,11500,개인,방화동,32,1,2025-03,1
102,강서쌍용예가,2014,개인, , ,89000,5,3,2025,중개거래,"서울 강서구, 서울 구로구",59.9194,5,308,N,25.05.02,11500,개인,염창동,11,0,2025-03,1
302,강변,1992,개인, , ,53600,24,3,2025,중개거래,서울 강서구,34.44,15,1475,N,25.06.19,11500,개인,가양동,33,1,2025-03,1
101,마곡서광(치현마을),1998,개인, , ,54500,27,3,2025,중개거래,서울 강서구,59.67,9,860,N,25.05.22,11500,개인,방화동,27,0,2025-03,1
101,이너스내안에,2004,개인, , ,78000,31,3,2025,중개거래,서울 강서구,84.91,1,254-2,N,25.06.27,11500,개인,염창동,21,0,2025-03,1
101,방신서광,2003,개인, , ,67500,5,3,2025,중개거래,서울 강서구,84.3819,2,871,N,25.05.19,11500,개인,방화동,22,0,2025-03,1
103,가양우성,1990,개인, , ,93000,30,3,2025,중개거래,서울 강서구,84.87,4,14-3,N,25.06.12,11500,개인,가양동,35,0,2025-03,1
505,주공5,1995,개인, , ,77900,17,3,2025,중개거래,서울 강서구,58.14,9,695,N,25.06.20,11500,개인,등촌동,30,0,2025-03,1
102,가양우성,1990,개인, , ,91000,14,3,2025,중개거래,서울 강서구,84.85,13,14-3,N,25.07.23,11500,개인,가양동,35,0,2025-03,1
 ,신송타워,1997,개인, , ,51500,29,3,2025,중개거래,서울 강서구,59.97,7,662-3,N,25.05.29,11500,개인,등촌동,28,0,2025-03,1
107,동성,1993,개인, , ,75000,28,3,2025,중개거래,서울 강서구,76.8,11,817,N,25.04.21,11500,개인,방화동,32,0,2025-03,1
135,강서힐스테이트,2015,개인, , ,133500,29,3,2025,중개거래,서울 강서구,84.99,13,1165,N,25.07.03,11500,개인,화곡동,10,0,2025-03,1
101,부영,1994,개인, , ,89400,27,3,2025,중개거래,서울 강서구,80.64,11,691-3,N,25.06.26,11500,개인,등촌동,31,0,2025-03,1
 ,스위트드림아파트,2019,개인,25.05.13,O,43000,29,3,2025,중개거래,서울 강서구,49.53,4,1168,N, ,11500,법인,화곡동,6,0,2025-03,1
 ,벽산,1999,개인, , ,72000,18,3,2025,중개거래,서울 강서구,59.98,16,429,N, ,11500,개인,마곡동,26,1,2025-03,1
 ,성재센트리움아파트,2017,개인, , ,23500,25,3,2025,중개거래,서울 강서구,29.75,6,143-11,N, ,11500,개인,화곡동,8,0,2025-03,1
506,방화5,1994,개인, , ,40000,31,3,2025,중개거래,서울 강서구,33.18,6,814,N,25.06.30,11500,개인,방화동,31,0,2025-03,1
615,가양6단지,1992,개인, , ,61500,22,3,2025,중개거래,서울 강서구,39.6,6,1485,N,25.06.20,11500,개인,가양동,33,0,2025-03,1
107,화곡푸르지오,2002,개인, , ,110900,8,3,2025,중개거래,서울 양천구,130.279,7,1091,N,25.06.10,11500,개인,화곡동,23,0,2025-03,1
205,가양2단지(성지),1992,개인, , ,50000,25,3,2025,중개거래,서울 강서구,34.44,6,1461,N,25.06.30,11500,개인,가양동,33,0,2025-03,1
 ,서부인터빌아파트,2002,개인, , ,59700,29,3,2025,중개거래,서울 강서구,84.1439,7,1074-18,N,25.06.25,11500,개인,화곡동,23,0,2025-03,1
124,강서힐스테이트,2015,개인, , ,162500,24,3,2025,중개거래,서울 강서구,152.1,16,1165,N,25.06.30,11500,개인,화곡동,10,1,2025-03,1
712,마곡엠밸리7단지,2014,개인, , ,201000,26,3,2025,중개거래,서울 강서구,114.86,14,743-4,N,25.06.20,11500,개인,마곡동,11,0,2025-03,1
 ,방화5,1994,개인, , ,40800,26,3,2025,중개거래,서울 강서구,33.18,11,814,N, ,11500,개인,방화동,31,0,2025-03,1
 ,동성,1993,개인,25.03.28,O,60000,27,3,2025,중개거래,서울 강서구,64.65,1,817,N, ,11500,개인,방화동,32,0,2025-03,1
107,가양강나루현대,1999,개인, , ,80000,22,3,2025,중개거래,서울 강서구,59.76,2,448-1,N,25.06.18,11500,개인,가양동,26,0,2025-03,1
 ,태승훼미리아파트5차,2010,개인, , ,61000,21,3,2025,중개거래,서울 강서구,61.14,4,714-4,N,25.07.10,11500,개인,내발산동,15,0,2025-03,1
 ,청솔,1994,개인, , ,54700,27,3,2025,중개거래,서울 강서구,49.2,12,832,N, ,11500,개인,방화동,31,0,2025-03,1
103,성원,2001,개인, , ,122000,29,3,2025,중개거래,서울 강서구,114.12,9,295,N,25.07.04,11500,개인,염창동,24,0,2025-03,1
105,동아,1998,개인, , ,73000,27,3,2025,중개거래,서울 강서구,59.97,5,292,N,25.06.05,11500,개인,염창동,27,0,2025-03,1
305,강변,1992,개인, , ,57000,15,3,2025,중개거래,서울 강서구,39.6,3,1475,N,25.06.19,11500,개인,가양동,33,0,2025-03,1
101,동부센트레빌,2003,개인, , ,67000,25,3,2025,중개거래,서울 강서구,59.97,6,870,N,25.06.19,11500,개인,방화동,22,0,2025-03,1
1305동,마곡13단지힐스테이트마스터,2017,개인, , ,116000,20,3,2025,중개거래,서울 강서구,59.9825,1,748,N,25.06.09,11500,개인,마곡동,8,0,2025-03,1
104,부영,1994,개인, , ,87800,24,3,2025,중개거래,"부산 부산진구, 서울 강서구",80.64,5,691-3,N,25.06.25,11500,개인,등촌동,31,0,2025-03,1
502,마곡엠밸리5단지,2014,개인, , ,131500,10,3,2025,중개거래,서울 강서구,84.92,2,740,N,25.05.30,11500,개인,마곡동,11,0,2025-03,1
202,가양2단지(성지),1992,개인, , ,55500,29,3,2025,중개거래,서울 강서구,39.6,1,1461,N,25.06.30,11500,개인,가양동,33,0,2025-03,1
101,강서월드메르디앙,2006,개인, , ,82800,22,3,2025,중개거래,서울 강서구,84.8945,3,659-1,N,25.06.26,11500,개인,내발산동,19,0,2025-03,1
102,삼정그린코아,2001,개인, , ,111300,22,3,2025,중개거래,서울 강서구,84.358,5,282,N,25.07.04,11500,개인,염창동,24,0,2025-03,1
102,서광등촌마을아파트,1999,개인, , ,74000,24,3,2025,중개거래,서울 강서구,59.67,11,638,N,25.05.16,11500,개인,등촌동,26,0,2025-03,1
308,동아3,1999,개인, , ,91500,29,3,2025,중개거래,서울 강서구,59.7,17,258-1,N,25.07.07,11500,개인,염창동,26,1,2025-03,1
139,"우장산아이파크,이편한세상",2008,개인, , ,106000,19,3,2025,중개거래,서울 강서구,59.98,7,1159,N,25.05.09,11500,개인,화곡동,17,0,2025-03,1
 ,마곡수명산파크4단지,2008,개인,25.06.14,O,90000,19,3,2025,중개거래,서울 강서구,59.84,10,753,N, ,11500,개인,내발산동,17,0,2025-03,1
 ,요산페어뷰,2013,개인,25.04.18,O,45000,6,3,2025,중개거래,서울 강서구,73.8,2,377-21,N, ,11500,개인,화곡동,12,0,2025-03,1
 ,강변한솔솔파크,2005,개인,25.05.14,O,107000,25,3,2025,중개거래,서울 강서구,84.97,23,300,N, ,11500,개인,염창동,20,1,2025-03,1
109,우장산힐스테이트,2005,개인, , ,113000,15,3,2025,중개거래,서울 강서구,59.98,5,657,N,25.06.05,11500,개인,내발산동,20,0,2025-03,1
204,가양2단지(성지),1992,개인, , ,50700,15,3,2025,중개거래,서울 강서구,34.44,8,1461,N,25.06.27,11500,개인,가양동,33,0,2025-03,1
1306동,마곡13단지힐스테이트마스터,2017,법인, , ,149000,22,3,2025,중개거래,서울 강서구,84.9805,13,748,N,25.06.12,11500,개인,마곡동,8,0,2025-03,1
 ,삼성한아름,1993,개인, , ,76500,24,3,2025,중개거래,서울 강서구,84.89,3,264-27,N,25.06.30,11500,개인,염창동,32,0,2025-03,1
1204,마곡중앙하이츠아파트,1994,개인, , ,41700,19,3,2025,중개거래,서울 강서구,39.58,6,852,N,25.06.24,11500,개인,방화동,31,0,2025-03,1
803,"등촌7,8단지주공아파트",1994,개인, , ,60200,31,3,2025,중개거래,서울 강서구,41.85,12,707,N,25.06.30,11500,개인,등촌동,31,0,2025-03,1
301,동아3,1999,개인, , ,83800,21,3,2025,중개거래,서울 강서구,59.7,11,258-1,N,25.06.25,11500,개인,염창동,26,0,2025-03,1
802,마곡엠밸리8단지,2016,개인, , ,138500,26,3,2025,중개거래,서울 강서구,84.89,12,741,N,25.06.30,11500,개인,마곡동,9,0,2025-03,1
103,태영,1998,개인, , ,60000,23,3,2025,중개거래,서울 강서구,59.97,1,632-2,N,25.06.18,11500,개인,등촌동,27,0,2025-03,1
 ,남광아파트,2017,개인, , ,23500,29,3,2025,중개거래,서울 강서구,32.07,6,920-15,N,25.07.21,11500,개인,화곡동,8,0,2025-03,1
 ,미주,1988,개인, , ,20000,31,3,2025,중개거래,서울 강서구,48.3,4,474-1,N,25.04.09,11500,개인,화곡동,37,0,2025-03,1
103,강서힐스테이트,2015,개인, , ,148000,14,3,2025,중개거래,서울 강서구,128.81,17,1165,N,25.05.09,11500,개인,화곡동,10,1,2025-03,1
305,주공3,1995,개인, , ,85000,22,3,2025,중개거래,서울 강서구,58.14,4,688,N,25.06.30,11500,개인,등촌동,30,0,2025-03,1
135,"우장산아이파크,이편한세상",2008,개인, , ,137000,14,3,2025,중개거래,서울 강서구,114.98,2,1159,N,25.06.26,11500,개인,화곡동,17,0,2025-03,1
202,강서센트레빌3차(894-0),2009,개인, , ,94500,6,3,2025,직거래, ,84.4,6,894,N,25.04.03,11500,개인,방화동,16,0,2025-03,1
 ,주공10,1995,개인, , ,58500,24,3,2025,중개거래,서울 강서구,37.67,10,702,N, ,11500,개인,등촌동,30,0,2025-03,1
2002,롯데2,2003,개인, , ,81000,26,3,2025,중개거래,서울 강서구,84.708,1,729,N,25.06.26,11500,개인,내발산동,22,0,2025-03,1
1201,마곡중앙하이츠아파트,1994,개인, , ,39000,15,3,2025,중개거래,서울 강서구,39.58,8,852,N,25.05.09,11500,개인,방화동,31,0,2025-03,1
102,극동상록수,1999,개인, , ,95500,22,3,2025,중개거래,서울 강서구,84.96,11,280,N,25.06.16,11500,개인,염창동,26,0,2025-03,1
104,동부센트레빌,2003,개인, , ,64000,31,3,2025,중개거래,"서울 강서구, 서울 마포구",59.97,12,870,N,25.06.24,11500,개인,방화동,22,0,2025-03,1
101,극동,2000,개인, , ,76000,18,3,2025,중개거래,서울 강서구,59.9,17,246-23,N,25.05.02,11500,개인,염창동,25,1,2025-03,1
505,방화5,1994,개인, , ,47000,20,3,2025,중개거래,서울 강서구,39.6,8,814,N,25.07.10,11500,개인,방화동,31,0,2025-03,1
301,주공3,1995,개인, , ,80000,17,3,2025,중개거래,서울 강서구,58.14,11,688,N,25.06.20,11500,개인,등촌동,30,0,2025-03,1
307,마곡수명산파크3단지,2007,개인, , ,103500,12,3,2025,중개거래,서울 강서구,84.96,8,751,N,25.06.02,11500,개인,내발산동,18,0,2025-03,1
303,청솔,1994,개인, , ,43800,31,3,2025,중개거래,서울 강서구,39.36,13,832,N,25.05.20,11500,개인,방화동,31,0,2025-03,1
102,방신서광,2003,개인, , ,81000,22,3,2025,중개거래,서울 강서구,113.3376,5,871,N,25.06.02,11500,개인,방화동,22,0,2025-03,1
137,"우장산아이파크,이편한세상",2008,개인, , ,109800,21,3,2025,중개거래,서울 강서구,59.98,11,1159,N,25.07.15,11500,개인,화곡동,17,0,2025-03,1
104,마곡힐스테이트,2017,개인, , ,140500,20,3,2025,중개거래,서울 강서구,84.92,2,725-1,N,25.05.20,11500,개인,마곡동,8,0,2025-03,1
101,현대,1995,개인, , ,71500,31,3,2025,중개거래,서울 강서구,84.47,12,655-27,N,25.07.09,11500,개인,등촌동,30,0,2025-03,1
102,"우장산아이파크,이편한세상",2008,개인, , ,125000,22,3,2025,중개거래,서울 강서구,84.97,19,1159,N,25.06.05,11500,개인,화곡동,17,1,2025-03,1
 ,초록,1998,개인,25.04.29,O,70000,26,3,2025,중개거래,서울 강서구,59.34,4,1139,N, ,11500,개인,화곡동,27,0,2025-03,1
508,주공5,1995,개인, , ,50000,28,3,2025,직거래, ,37.67,2,695,N,25.07.03,11500,개인,등촌동,30,0,2025-03,1
101,강서한강월드메르디앙,2006,개인, , ,99000,12,3,2025,중개거래,서울 강서구,84.9,7,1462,N,25.05.23,11500,개인,가양동,19,0,2025-03,1
209,가양2단지(성지),1992,개인, , ,74500,10,3,2025,중개거래,서울 강서구,49.56,12,1461,N,25.07.03,11500,개인,가양동,33,0,2025-03,1
217,방화그린,1993,개인, , ,52000,18,3,2025,중개거래,서울 강서구,49.77,15,839,N,25.06.25,11500,개인,방화동,32,1,2025-03,1
 ,가양2단지(성지),1992,개인, , ,51000,15,3,2025,중개거래,서울 강서구,34.44,13,1461,N, ,11500,개인,가양동,33,0,2025-03,1
102,극동상록수,1999,개인, , ,95000,21,3,2025,중개거래,서울 강서구,84.96,15,280,N,25.07.23,11500,개인,염창동,26,1,2025-03,1
