aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,buildingAge,isHighFloor,dealYearMonth,dealQuarter
 ,드림시드아파트1차,2017,개인, , ,23000,21,3,2025,중개거래,서울 강서구,35.48,12,899-13,N,25.06.04,11500,개인,화곡동,8,0,2025-03,1
101,신안,1993,개인, , ,94500,26,3,2025,중개거래,서울 강서구,84.97,3,422,N,25.06.27,11500,개인,마곡동,32,0,2025-03,1
102,우장산롯데캐슬,2003,개인, , ,99000,8,3,2025,중개거래,서울 강서구,85.0,1,1145,N,25.06.09,11500,개인,화곡동,22,0,2025-03,1
 ,동신대아,1993,개인, , ,118000,15,3,2025,중개거래,서울 강서구,101.97,11,1459,N, ,11500,개인,가양동,32,0,2025-03,1
 ,마곡서광(치현마을),1998,개인, , ,55000,15,3,2025,중개거래,서울 강서구,59.67,14,860,N, ,11500,개인,방화동,27,0,2025-03,1
203,마곡현대아파트,1999,개인, , ,75000,5,3,2025,중개거래,"경기 김포시, 서울 영등포구",84.95,3,1171,N,25.05.15,11500,개인,마곡동,26,0,2025-03,1
101,롯데캐슬,2005,개인, , ,120000,11,3,2025,중개거래,서울 강서구,84.9519,1,272-11,N,25.05.15,11500,개인,염창동,20,0,2025-03,1
114,우장산힐스테이트,2005,개인, , ,139500,31,3,2025,중개거래,서울 강서구,84.98,9,657,N,25.07.01,11500,개인,내발산동,20,0,2025-03,1
103,롯데캐슬,2005,개인, , ,123000,10,3,2025,중개거래,서울 강서구,84.9519,4,272-11,N,25.06.16,11500,개인,염창동,20,0,2025-03,1
512,마곡수명산파크5단지,2008,개인, , ,83800,13,3,2025,중개거래,서울 강서구,59.84,5,749,N,25.06.04,11500,개인,내발산동,17,0,2025-03,1
910,가양도시개발9-2단지,1993,개인, , ,56500,25,3,2025,중개거래,서울 강서구,39.6,3,1490,N,25.06.09,11500,개인,가양동,32,0,2025-03,1
102,우장산힐스테이트,2005,개인, , ,142000,28,3,2025,중개거래,서울 강서구,84.98,11,657,N,25.07.29,11500,개인,내발산동,20,0,2025-03,1
 ,서부인터빌아파트,2002,개인, , ,59500,26,3,2025,중개거래,"서울 강서구, 서울 양천구",84.1439,10,1074-18,N,25.06.12,11500,개인,화곡동,23,0,2025-03,1
101,이너스내안에,2004,개인, , ,78000,28,3,2025,중개거래,서울 강서구,84.91,13,254-2,N,25.04.17,11500,개인,염창동,21,0,2025-03,1
613,마곡엠밸리6단지,2014,개인, , ,194000,19,3,2025,중개거래,서울 강서구,114.98,14,743,N,25.05.29,11500,개인,마곡동,11,0,2025-03,1
105,동아,1998,개인, , ,73000,16,3,2025,중개거래,서울 강서구,59.97,4,292,N,25.06.30,11500,개인,염창동,27,0,2025-03,1
106,대림경동아파트,1993,개인, , ,125000,10,3,2025,중개거래,서울 강서구,131.4,9,1474,N,25.05.22,11500,개인,가양동,32,0,2025-03,1
1202,마곡중앙하이츠아파트,1994,개인, , ,45100,15,3,2025,중개거래,경기 고양시 덕양구,51.03,1,852,N,25.04.30,11500,개인,방화동,31,0,2025-03,1
 ,NS파크APT,2018,개인,25.04.22,O,25500,26,3,2025,중개거래,서울 강서구,29.93,4,1076-9,N, ,11500,개인,화곡동,7,0,2025-03,1
103,우장산힐스테이트,2005,개인, , ,110000,28,3,2025,중개거래,서울 강서구,59.98,3,657,N,25.07.29,11500,개인,내발산동,20,0,2025-03,1
 ,주공10,1995,개인, , ,77000,29,3,2025,중개거래,서울 강서구,58.14,10,702,N, ,11500,개인,등촌동,30,0,2025-03,1
803,마곡엠밸리8단지,2016,개인, , ,140000,28,3,2025,중개거래,서울 강서구,84.88,15,741,N,25.07.10,11500,개인,마곡동,9,1,2025-03,1
102,강서월드메르디앙,2006,개인, , ,86700,14,3,2025,중개거래,서울 강서구,84.8945,9,659-1,N,25.06.20,11500,개인,내발산동,19,0,2025-03,1
 ,"등촌7,8단지주공아파트",1994,개인,25.04.03,O,60200,31,3,2025,중개거래,서울 강서구,41.85,12,707,N, ,11500,개인,등촌동,31,0,2025-03,1
103,한숲마을대림,1999,개인, , ,53800,28,3,2025,중개거래,서울 강서구,59.69,8,862,N,25.05.23,11500,개인,방화동,26,0,2025-03,1
410,마곡수명산파크4단지,2008,개인, , ,85000,24,3,2025,중개거래,서울 강서구,59.84,9,753,N,25.05.23,11500,개인,내발산동,17,0,2025-03,1
 ,태청,2002,개인, , ,46000,25,3,2025,중개거래,서울 강서구,90.69,6,319-9,N,25.06.04,11500,개인,방화동,23,0,2025-03,1
120,등촌동아이파크,2004,개인, , ,105000,29,3,2025,중개거래,"서울 강서구, 서울 양천구",84.9958,5,715,N,25.06.13,11500,개인,등촌동,21,0,2025-03,1
102,강서한강자이,2013,개인, , ,117000,31,3,2025,중개거래,서울 강서구,59.9382,13,1500,N,25.06.30,11500,개인,가양동,12,0,2025-03,1
1204,마곡중앙하이츠아파트,1994,개인, , ,39500,24,3,2025,중개거래,서울 강서구,39.58,14,852,N,25.06.20,11500,개인,방화동,31,0,2025-03,1
1001,주공10,1995,개인, , ,72800,16,3,2025,중개거래,서울 강서구,58.14,4,702,N,25.05.15,11500,개인,등촌동,30,0,2025-03,1
608,가양6단지,1992,개인, , ,84000,17,3,2025,중개거래,"서울 강서구, 서울 서초구",58.65,13,1485,N,25.05.08,11500,개인,가양동,33,0,2025-03,1
911,가양도시개발9-2단지,1993,개인, , ,50300,8,3,2025,중개거래,서울 강서구,34.44,14,1490,N,25.07.03,11500,개인,가양동,32,0,2025-03,1
213,방화그린,1993,개인, , ,35000,16,3,2025,중개거래,서울 강서구,33.6,7,839,N,25.06.05,11500,개인,방화동,32,0,2025-03,1
102,한강타운,1993,개인, , ,108500,10,3,2025,중개거래,서울 강서구,84.99,4,1460,N,25.05.23,11500,개인,가양동,32,0,2025-03,1
101,태영,1999,개인, , ,119500,27,3,2025,중개거래,서울 강서구,114.99,4,270-1,N,25.07.25,11500,개인,염창동,26,0,2025-03,1
709,마곡수명산파크7단지,2008,개인, , ,82800,22,3,2025,중개거래,서울 강서구,84.68,4,756,N,25.06.23,11500,개인,내발산동,17,0,2025-03,1
2,대림e편한세상,1992,개인, , ,70500,17,3,2025,중개거래,서울 강서구,84.84,11,361-1,N,25.06.24,11500,개인,화곡동,33,0,2025-03,1
103동,e편한세상염창,2019,개인, , ,123000,20,3,2025,중개거래,서울 강서구,59.9812,8,309,N,25.06.20,11500,개인,염창동,6,0,2025-03,1
 ,마곡중앙하이츠아파트,1994,개인, , ,53000,17,3,2025,중개거래,서울 강서구,51.03,11,852,N, ,11500,개인,방화동,31,0,2025-03,1
103,태진아름,1995,개인, , ,79500,28,3,2025,중개거래,서울 강서구,84.81,8,676,N,25.06.11,11500,개인,등촌동,30,0,2025-03,1
308,마곡수명산파크3단지,2007,개인, , ,70000,24,3,2025,직거래, ,84.53,5,751,N,25.03.31,11500,개인,내발산동,18,0,2025-03,1
911,가양도시개발9-2단지,1993,개인, , ,49800,21,3,2025,중개거래,서울 강서구,34.44,2,1490,N,25.05.28,11500,개인,가양동,32,0,2025-03,1
308,동아3,1999,개인, , ,85000,23,3,2025,중개거래,서울 강서구,59.7,4,258-1,N,25.06.20,11500,개인,염창동,26,0,2025-03,1
122,"우장산아이파크,이편한세상",2008,개인, , ,143000,23,3,2025,중개거래,"서울 강서구, 서울 광진구",101.65,11,1159,N,25.07.28,11500,개인,화곡동,17,0,2025-03,1
308,강변,1992,개인, , ,59900,21,3,2025,중개거래,서울 강서구,39.6,10,1475,N,25.06.13,11500,개인,가양동,33,0,2025-03,1
 ,이너스내안에,2004,개인,25.04.01,O,78000,28,3,2025,중개거래,서울 강서구,84.91,13,254-2,N, ,11500,개인,염창동,21,0,2025-03,1
 ,마곡금호어울림,2005,개인,25.05.17,O,91000,15,3,2025,중개거래,서울 강서구,84.948,11,717,N, ,11500,개인,마곡동,20,0,2025-03,1
101,이너스내안에,2004,개인, , ,63500,8,3,2025,중개거래,서울 강서구,59.9,2,254-2,N,25.07.15,11500,개인,염창동,21,0,2025-03,1
109,강서힐스테이트,2015,개인, , ,118000,18,3,2025,중개거래,서울 강서구,59.99,8,1165,N,25.07.22,11500,개인,화곡동,10,0,2025-03,1
105,우장산숲아이파크,2022,개인, , ,140000,27,3,2025,중개거래,서울 강서구,84.9771,15,1173,N,25.06.27,11500,개인,화곡동,3,1,2025-03,1
615,가양6단지,1992,개인, , ,73000,20,3,2025,중개거래,서울 강서구,49.5,4,1485,N,25.05.27,11500,개인,가양동,33,0,2025-03,1
101,극동,2000,개인, , ,72700,24,3,2025,중개거래,서울 강서구,59.9,7,246-23,N,25.06.20,11500,개인,염창동,25,0,2025-03,1
 ,위하우스아파트,2016,개인, , ,27300,22,3,2025,중개거래,서울 강서구,30.18,11,916-2,N,25.06.12,11500,개인,화곡동,9,0,2025-03,1
129,강서힐스테이트,2015,개인, , ,108000,10,3,2025,중개거래,서울 강서구,59.99,4,1165,N,25.06.12,11500,개인,화곡동,10,0,2025-03,1
104,강서힐스테이트,2015,개인, , ,135000,7,3,2025,중개거래,서울 강서구,84.99,9,1165,N,25.04.30,11500,개인,화곡동,10,0,2025-03,1
102,등촌라인(조합),1997,개인, , ,69500,15,3,2025,중개거래,"서울 강남구, 서울 강서구",59.91,13,628-15,N,25.04.30,11500,개인,등촌동,28,0,2025-03,1
 ,마곡현대아파트,1999,개인,25.03.28,O,75000,5,3,2025,중개거래,"경기 김포시, 서울 영등포구",84.95,3,1171,N, ,11500,개인,마곡동,26,0,2025-03,1
103,마곡청구아파트,1998,개인, , ,62500,18,3,2025,중개거래,서울 강서구,59.91,2,1181,N,25.05.29,11500,개인,마곡동,27,0,2025-03,1
 ,강서쌍용예가,2014,개인,25.06.02,O,101000,20,3,2025,중개거래,서울 강서구,84.9025,18,308,N, ,11500,개인,염창동,11,1,2025-03,1
 ,가양2단지(성지),1992,개인, , ,57000,10,3,2025,중개거래,서울 강서구,39.6,3,1461,N, ,11500,개인,가양동,33,0,2025-03,1
104,강서한강자이,2013,개인, , ,155000,14,3,2025,중개거래,서울 강서구,124.4246,4,1500,N,25.06.30,11500,개인,가양동,12,0,2025-03,1
108,한강타운,1993,개인, , ,108000,4,3,2025,중개거래,서울 강서구,84.99,3,1460,N,25.06.20,11500,개인,가양동,32,0,2025-03,1
1005,주공10,1995,개인, , ,80500,22,3,2025,중개거래,서울 강서구,58.14,10,702,N,25.06.27,11500,개인,등촌동,30,0,2025-03,1
101,마곡힐스테이트,2017,개인, , ,143000,27,3,2025,중개거래,서울 강서구,84.98,12,725-1,N,25.05.26,11500,법인,마곡동,8,0,2025-03,1
 ,부영,1994,개인,25.04.08,O,88400,8,3,2025,중개거래,서울 강서구,80.64,5,691-3,N, ,11500,개인,등촌동,31,0,2025-03,1
101,마곡서광(치현마을),1998,개인, , ,48400,24,3,2025,중개거래,서울 강서구,59.67,6,860,N,25.05.09,11500,개인,방화동,27,0,2025-03,1
406,마곡엠밸리4단지,2014,개인, , ,127000,22,3,2025,중개거래,서울 강서구,84.56,1,738,N,25.07.25,11500,개인,마곡동,11,0,2025-03,1
102,대림e-편한세상,2003,개인, , ,80000,12,3,2025,중개거래,서울 강서구,84.67,9,874,N,25.07.10,11500,개인,방화동,22,0,2025-03,1
101,성원,2001,개인, , ,75500,17,3,2025,중개거래,서울 강서구,59.91,12,295,N,25.06.27,11500,개인,염창동,24,0,2025-03,1
507,주공5,1995,개인, , ,36400,19,3,2025,직거래, ,37.67,15,695,N,25.03.31,11500,개인,등촌동,30,1,2025-03,1
610,가양6단지,1992,개인, , ,82500,3,3,2025,중개거래,서울 강서구,49.5,13,1485,N,25.04.28,11500,개인,가양동,33,0,2025-03,1
201,우장산롯데캐슬,2003,개인, , ,133000,8,3,2025,중개거래,서울 강서구,177.86,16,1145,N,25.05.21,11500,개인,화곡동,22,1,2025-03,1
103,성원,2001,개인, , ,120000,22,3,2025,중개거래,서울 강서구,114.12,18,295,N,25.06.30,11500,개인,염창동,24,1,2025-03,1
127,강서힐스테이트,2015,개인, , ,134000,10,3,2025,중개거래,서울 강서구,84.99,18,1165,N,25.06.30,11500,개인,화곡동,10,1,2025-03,1
116,화곡푸르지오,2002,개인, , ,137000,10,3,2025,중개거래,서울 강서구,156.876,5,1091,N,25.05.30,11500,개인,화곡동,23,0,2025-03,1
 ,강서힐스테이트,2015,개인, , ,117000,23,3,2025,중개거래,경기 안양시 만안구,59.99,10,1165,N, ,11500,개인,화곡동,10,0,2025-03,1
 ,마곡청구아파트,1998,개인,25.03.27,O,62500,18,3,2025,중개거래,서울 강서구,59.91,2,1181,N, ,11500,개인,마곡동,27,0,2025-03,1
103,우장산힐스테이트,2005,개인, , ,112000,6,3,2025,중개거래,서울 강서구,59.98,12,657,N,25.05.09,11500,개인,내발산동,20,0,2025-03,1
107,강서한강자이,2013,개인, , ,153500,7,3,2025,중개거래,서울 강서구,98.9994,15,1500,N,25.06.30,11500,개인,가양동,12,1,2025-03,1
1,한미(286-1),1988,개인, , ,36900,22,3,2025,중개거래,서울 강서구,40.02,4,286-1,N,25.05.23,11500,개인,방화동,37,0,2025-03,1
137,"우장산아이파크,이편한세상",2008,개인, , ,102500,7,3,2025,중개거래,서울 강서구,59.98,3,1159,N,25.06.18,11500,개인,화곡동,17,0,2025-03,1
 ,화곡한강,2007,개인, , ,49000,25,3,2025,중개거래,서울 강서구,88.95,3,1059-19,N,25.05.26,11500,개인,화곡동,18,0,2025-03,1
1,유원펠리체(924-17),2012,개인, , ,22000,17,3,2025,중개거래,서울 강서구,42.85,8,924-17,N,25.05.23,11500,개인,화곡동,13,0,2025-03,1
101,강서월드메르디앙,2006,개인, , ,90000,10,3,2025,중개거래,서울 강서구,84.8945,10,659-1,N,25.06.27,11500,개인,내발산동,19,0,2025-03,1
101,강변힐스테이트,2005,개인, , ,124000,22,3,2025,중개거래,서울 강서구,84.99,12,299,N,25.06.02,11500,개인,염창동,20,0,2025-03,1
203,"등촌1,2단지주공아파트",1994,개인, , ,55000,24,3,2025,중개거래,서울 강서구,41.85,13,687,N,25.06.09,11500,개인,등촌동,31,0,2025-03,1
 ,화곡푸르지오,2002,개인,25.04.07,O,110900,8,3,2025,중개거래,서울 양천구,130.279,7,1091,N, ,11500,개인,화곡동,23,0,2025-03,1
202,한강동아,1998,개인, , ,83000,7,3,2025,중개거래,서울 강서구,59.97,7,293,N,25.06.05,11500,개인,염창동,27,0,2025-03,1
115,강서힐스테이트,2015,개인, , ,111500,19,3,2025,중개거래,서울 강서구,59.99,6,1165,N,25.04.30,11500,개인,화곡동,10,0,2025-03,1
101,탑건진선미,2005,개인, , ,68500,22,3,2025,중개거래,서울 강서구,84.81,5,1155,N,25.05.14,11500,개인,화곡동,20,0,2025-03,1
 ,계명위너스,2011,개인,25.03.30,O,27000,23,3,2025,중개거래,서울 영등포구,29.38,3,646-29,N, ,11500,개인,등촌동,14,0,2025-03,1
104,개화,1994,개인, , ,102000,20,3,2025,중개거래,서울 강서구,133.98,9,819,N,25.07.31,11500,개인,방화동,31,0,2025-03,1
101,삼성하나로,1994,개인, , ,61000,8,3,2025,중개거래,서울 강서구,59.26,8,248-3,N,25.06.05,11500,개인,염창동,31,0,2025-03,1
304,강변,1992,개인, , ,54000,12,3,2025,중개거래,서울 강서구,34.44,9,1475,N,25.06.20,11500,개인,가양동,33,0,2025-03,1
101,동신대아,1993,개인, , ,117500,4,3,2025,중개거래,서울 강서구,101.97,13,1459,N,25.06.12,11500,개인,가양동,32,0,2025-03,1
 ,강변,1992,개인,25.03.26,O,61500,12,3,2025,중개거래,서울 강서구,39.6,10,1475,N, ,11500,개인,가양동,33,0,2025-03,1
610,가양6단지,1992,개인, , ,79500,25,3,2025,중개거래,서울 강서구,49.5,14,1485,N,25.06.04,11500,개인,가양동,33,0,2025-03,1
1208,마곡중앙하이츠아파트,1994,개인, , ,53500,12,3,2025,중개거래,서울 강서구,51.03,2,852,N,25.04.21,11500,개인,방화동,31,0,2025-03,1
102,신안,1993,개인, , ,79000,20,3,2025,중개거래,"서울 강서구, 서울 양천구",59.98,11,422,N,25.06.19,11500,개인,마곡동,32,0,2025-03,1
 ,신동아,1995,개인,25.05.22,O,67500,11,3,2025,중개거래,서울 강서구,59.82,9,289,N, ,11500,개인,염창동,30,0,2025-03,1
102,극동상록수,1999,개인, , ,87000,13,3,2025,중개거래,서울 강서구,84.96,1,280,N,25.07.25,11500,개인,염창동,26,0,2025-03,1
610,가양6단지,1992,개인, , ,77500,24,3,2025,중개거래,서울 강서구,49.5,10,1485,N,25.04.11,11500,개인,가양동,33,0,2025-03,1
103,마곡우림필유아파트,2003,개인, , ,91500,24,3,2025,중개거래,서울 강서구,84.528,5,1467,N,25.05.23,11500,개인,마곡동,22,0,2025-03,1
101,개화,1994,개인, , ,77500,10,3,2025,중개거래,서울 강서구,101.86,13,819,N,25.06.30,11500,개인,방화동,31,0,2025-03,1
103,강변월드메르디앙,2010,개인, , ,105000,19,3,2025,중개거래,서울 강서구,84.9341,4,240-1,N,25.05.12,11500,개인,염창동,15,0,2025-03,1
 ,e편한세상염창,2019,개인, , ,143500,17,3,2025,중개거래,서울 강서구,84.6352,18,309,N, ,11500,개인,염창동,6,1,2025-03,1
1,NS파크APT,2018,개인, , ,26900,21,3,2025,중개거래,서울 강서구,28.91,10,1076-9,N,25.06.02,11500,개인,화곡동,7,0,2025-03,1
302,염창3우성,1993,개인, , ,84000,8,3,2025,중개거래,서울 양천구,84.96,7,272-28,N,25.05.28,11500,개인,염창동,32,0,2025-03,1
 ,예스빌,2003,개인, , ,54000,22,3,2025,중개거래,서울 강서구,84.4,3,687-2,N, ,11500,개인,내발산동,22,0,2025-03,1
105,동아,1998,개인, , ,72700,14,3,2025,중개거래,서울 강서구,59.97,14,292,N,25.07.21,11500,개인,염창동,27,0,2025-03,1
 ,주공3,1995,개인, , ,83000,8,3,2025,중개거래,서울 강서구,58.14,8,688,N, ,11500,개인,등촌동,30,0,2025-03,1
610,가양6단지,1992,개인, , ,79500,8,3,2025,중개거래,서울 강서구,49.5,5,1485,N,25.05.23,11500,개인,가양동,33,0,2025-03,1
 ,한진로즈힐,2004,개인,25.04.11,O,80500,24,3,2025,중개거래,서울 강서구,84.93,3,579,N, ,11500,개인,방화동,21,0,2025-03,1
1305동,마곡13단지힐스테이트마스터,2017,개인, , ,122000,24,3,2025,중개거래,서울 강서구,59.9825,3,748,N,25.05.29,11500,개인,마곡동,8,0,2025-03,1
1513,마곡엠벨리(15단지),2014,개인, , ,119000,24,3,2025,중개거래,서울 강서구,59.79,4,751,N,25.05.29,11500,개인,마곡동,11,0,2025-03,1
1322동,마곡13단지힐스테이트마스터,2017,개인, , ,127000,15,3,2025,중개거래,서울 강서구,59.9825,12,748,N,25.07.25,11500,개인,마곡동,8,0,2025-03,1
 ,일성스카이빌,2001,개인, , ,32000,15,3,2025,중개거래,서울 강서구,59.96,4,914-3,N,25.06.23,11500,개인,화곡동,24,0,2025-03,1
307,동아3,1999,개인, , ,92000,21,3,2025,중개거래,서울 강서구,59.83,11,258-1,N,25.05.23,11500,개인,염창동,26,0,2025-03,1
107,벽산,1999,개인, , ,71000,12,3,2025,중개거래,서울 강서구,59.98,13,429,N,25.06.04,11500,개인,마곡동,26,0,2025-03,1
 ,메종드로제,2019,개인, , ,37000,24,3,2025,중개거래,서울 강서구,49.26,13,926-3,N,25.06.09,11500,개인,화곡동,6,0,2025-03,1
제2,신동아,1995,개인, , ,61500,18,3,2025,중개거래,서울 강서구,59.4,12,796,N,25.06.10,11500,개인,방화동,30,0,2025-03,1
130,강서힐스테이트,2015,개인, , ,133500,1,3,2025,중개거래,서울 강서구,84.99,13,1165,N,25.03.26,11500,개인,화곡동,10,0,2025-03,1
120,우장산힐스테이트,2005,개인, , ,148000,20,3,2025,중개거래,서울 강서구,101.87,2,657,N,25.04.25,11500,개인,내발산동,20,0,2025-03,1
127,"우장산아이파크,이편한세상",2008,개인, , ,127500,21,3,2025,중개거래,서울 강서구,84.97,17,1159,N,25.05.26,11500,개인,화곡동,17,1,2025-03,1
209,가양2단지(성지),1992,개인, , ,74000,18,3,2025,중개거래,서울 강서구,49.65,3,1461,N,25.06.04,11500,개인,가양동,33,0,2025-03,1
106,염창1차한화꿈에그린,2005,개인, , ,132000,17,3,2025,중개거래,서울 강서구,84.93,20,281-22,N,25.06.30,11500,개인,염창동,20,1,2025-03,1
101,현대,1993,개인, , ,69400,22,3,2025,중개거래,서울 강서구,84.99,1,793,N,25.06.10,11500,개인,방화동,32,0,2025-03,1
205,가양2단지(성지),1992,개인, , ,50700,13,3,2025,중개거래,서울 강서구,34.44,9,1461,N,25.05.16,11500,개인,가양동,33,0,2025-03,1
103,강서한강자이,2013,개인, , ,153000,5,3,2025,중개거래,서울 강서구,102.9171,15,1500,N,25.05.15,11500,개인,가양동,12,1,2025-03,1
102,염창1차한화꿈에그린,2005,개인, , ,113000,15,3,2025,중개거래,서울 강서구,59.94,11,281-22,N,25.07.15,11500,개인,염창동,20,0,2025-03,1
101,빛고을우방,1999,개인, , ,74500,19,3,2025,중개거래,서울 강서구,59.97,9,448-9,N,25.06.13,11500,개인,가양동,26,0,2025-03,1
122,"우장산아이파크,이편한세상",2008,개인, , ,137000,13,3,2025,중개거래,서울 강서구,101.65,11,1159,N,25.07.07,11500,개인,화곡동,17,0,2025-03,1
205,가양2단지(성지),1992,개인, , ,50900,22,3,2025,중개거래,서울 강서구,34.44,8,1461,N,25.05.26,11500,개인,가양동,33,0,2025-03,1
203,대동황토방2,2003,개인, , ,90000,23,3,2025,중개거래,서울 강서구,80.93,7,713,N,25.07.28,11500,개인,등촌동,22,0,2025-03,1
111,"우장산아이파크,이편한세상",2008,개인, , ,125000,13,3,2025,중개거래,서울 강서구,84.97,6,1159,N,25.05.30,11500,개인,화곡동,17,0,2025-03,1
2,대림e편한세상,1992,개인, , ,68500,19,3,2025,중개거래,서울 강서구,84.84,6,361-1,N,25.06.02,11500,개인,화곡동,33,0,2025-03,1
708,마곡수명산파크7단지,2008,개인, , ,85800,9,3,2025,중개거래,서울 강서구,84.68,8,756,N,25.06.30,11500,개인,내발산동,17,0,2025-03,1
1101동,마곡엠밸리11단지,2016,개인, , ,119500,15,3,2025,중개거래,서울 강서구,59.79,8,746,N,25.05.15,11500,개인,마곡동,9,0,2025-03,1
304,강변,1992,개인, , ,53000,8,3,2025,중개거래,서울 강서구,34.44,12,1475,N,25.04.11,11500,개인,가양동,33,0,2025-03,1
1004,주공10,1995,개인, , ,58000,23,3,2025,중개거래,서울 강서구,37.67,8,702,N,25.05.30,11500,개인,등촌동,30,0,2025-03,1
607,가양6단지,1992,개인, , ,85700,3,3,2025,중개거래,서울 강서구,58.65,12,1485,N,25.05.29,11500,개인,가양동,33,0,2025-03,1
106,강변힐스테이트,2005,개인, , ,110000,17,3,2025,중개거래,서울 강서구,84.99,3,299,N,25.04.04,11500,개인,염창동,20,0,2025-03,1
214,방화그린,1993,개인, , ,41500,1,3,2025,중개거래,서울 강서구,39.76,7,839,N,25.04.30,11500,개인,방화동,32,0,2025-03,1
1001,주공10,1995,개인, , ,75000,1,3,2025,중개거래,서울 강서구,58.14,4,702,N,25.05.23,11500,개인,등촌동,30,0,2025-03,1
106,화곡푸르지오,2002,개인, , ,111000,22,3,2025,중개거래,서울 강서구,125.021,3,1091,N,25.06.04,11500,개인,화곡동,23,0,2025-03,1
 ,신송타워,1997,개인, , ,58000,15,3,2025,중개거래,서울 영등포구,84.96,16,662-3,N,25.05.23,11500,개인,등촌동,28,1,2025-03,1
 ,우장산롯데캐슬,2003,개인, , ,123200,22,3,2025,중개거래,서울 강서구,117.19,4,1145,N, ,11500,개인,화곡동,22,0,2025-03,1
133,"우장산아이파크,이편한세상",2008,개인, , ,111000,21,3,2025,중개거래,서울 강서구,59.98,16,1159,N,25.05.30,11500,개인,화곡동,17,1,2025-03,1
102,일신건영휴먼빌,2004,개인, , ,77500,22,3,2025,중개거래,서울 강서구,59.984,11,1496,N,25.06.16,11500,개인,가양동,21,0,2025-03,1
507,주공5,1995,개인, , ,57000,10,3,2025,중개거래,서울 강서구,37.67,6,695,N,25.06.09,11500,개인,등촌동,30,0,2025-03,1
120,"우장산아이파크,이편한세상",2008,개인, , ,126000,4,3,2025,중개거래,서울 강서구,84.97,11,1159,N,25.04.30,11500,개인,화곡동,17,0,2025-03,1
 ,가양6단지,1992,개인,25.04.15,O,83500,4,3,2025,중개거래,서울 강서구,58.65,14,1485,N, ,11500,개인,가양동,33,0,2025-03,1
