aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,buildingAge,isHighFloor,dealYearMonth,dealQuarter,estateAgentSggNmClean,aptAddress,isStationNearby,aptLat,aptLng,area_bin
306,우장산롯데캐슬,2003,개인, , ,110000,29,3,2025,중개거래,서울 강서구,85.0,14,1145,N,25.07.01,11500,개인,화곡동,22,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1145,0,37.5556368030986,126.848318501804,60~90
 ,청솔102동,1997,개인, , ,56991,17,3,2025,직거래, ,117.69,7,673-14,N,25.07.01,11500,개인,내발산동,28,0,2025-03,1, ,  내발산동 673-14,0,37.5530862249558,126.841165009891,90~120
 ,강변,1992,개인, , ,73000,29,3,2025,중개거래,서울 강서구,49.5,4,1475,N, ,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1475,1,37.5652163063579,126.855667621933,30~60
703,마곡엠밸리7단지,2014,개인, , ,170000,8,3,2025,중개거래,서울 강서구,84.91,12,743-4,N,25.06.23,11500,개인,마곡동,11,0,2025-03,1,서울 강서구,서울 강서구 마곡동 743-4,1,37.5648812125749,126.823376663134,60~90
410,마곡수명산파크4단지,2008,개인, , ,90000,23,3,2025,중개거래,서울 강서구,59.84,10,753,N,25.07.25,11500,개인,내발산동,17,0,2025-03,1,서울 강서구,서울 강서구 내발산동 753,0,37.5512348671569,126.823351155728,30~60
 ,등촌동아이파크,2004,개인, , ,123000,10,3,2025,중개거래,서울 강서구,134.8836,9,715,N, ,11500,개인,등촌동,21,0,2025-03,1,서울 강서구,서울 강서구 등촌동 715,0,37.5439005769284,126.859981715413,120~150
103,강서쌍용예가,2014,개인, , ,101000,20,3,2025,중개거래,서울 강서구,84.9025,18,308,N,25.06.30,11500,개인,염창동,11,1,2025-03,1,서울 강서구,서울 강서구 염창동 308,0,37.5554016793389,126.866556386664,60~90
 ,요산페어뷰,2013,개인, , ,45000,6,3,2025,중개거래,서울 강서구,73.8,2,377-21,N,25.06.16,11500,개인,화곡동,12,0,2025-03,1,서울 강서구,서울 강서구 화곡동 377-21,0,37.5372146687228,126.835554973928,60~90
2,신동아,1995,개인, , ,67500,22,3,2025,중개거래,서울 강서구,59.82,9,289,N,25.07.31,11500,개인,염창동,30,0,2025-03,1,서울 강서구,서울 강서구 염창동 289,0,37.5551294880285,126.869050974189,30~60
 ,주공3,1995,개인, , ,57400,3,3,2025,중개거래,서울 강서구,37.67,6,688,N, ,11500,개인,등촌동,30,0,2025-03,1,서울 강서구,서울 강서구 등촌동 688,1,37.5616418349754,126.841111422493,30~60
102,마곡금호어울림,2005,개인, , ,91000,15,3,2025,중개거래,서울 강서구,84.948,11,717,N,25.06.27,11500,개인,마곡동,20,0,2025-03,1,서울 강서구,서울 강서구 마곡동 717,0,37.5745942801032,126.837612448089,60~90
105,강변한솔솔파크,2005,개인, , ,107000,25,3,2025,중개거래,서울 강서구,84.97,23,300,N,25.07.04,11500,개인,염창동,20,1,2025-03,1,서울 강서구,서울 강서구 염창동 300,0,37.5566842439508,126.866552401948,60~90
 ,스위트드림아파트,2019,개인, , ,43000,29,3,2025,중개거래,서울 강서구,49.53,4,1168,N,25.05.16,11500,법인,화곡동,6,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1168,1,37.5439270920666,126.836189632424,30~60
 ,요산페어뷰,2013,개인, , ,45000,6,3,2025,중개거래,서울 강서구,73.8,2,377-21,N,25.06.16,11500,개인,화곡동,12,0,2025-03,1,서울 강서구,서울 강서구 화곡동 377-21,0,37.5372146687228,126.835554973928,60~90
1403,마곡엠벨리(14단지),2014,개인, , ,178000,29,3,2025,중개거래,서울 강서구,114.86,6,750,N,25.07.18,11500,개인,마곡동,11,0,2025-03,1,서울 강서구,서울 강서구 마곡동 750,1,37.5568364485914,126.824616701317,90~120
108,초록,1998,개인, , ,70000,26,3,2025,중개거래,서울 강서구,59.34,4,1139,N,25.07.29,11500,개인,화곡동,27,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1139,1,37.545684414842,126.833623087174,30~60
101,가양강나루현대,1999,개인, , ,89500,1,3,2025,중개거래,"서울 강서구, 서울 서초구",59.76,11,448-1,N,25.06.20,11500,개인,가양동,26,0,2025-03,1,서울 강서구,서울 강서구 가양동 448-1,1,37.5607561619781,126.856971359725,30~60
 ,가양강나루현대,1999,개인,25.04.28,O,89500,1,3,2025,중개거래,"서울 강서구, 서울 서초구",59.76,11,448-1,N, ,11500,개인,가양동,26,0,2025-03,1,서울 강서구,서울 강서구 가양동 448-1,1,37.5607561619781,126.856971359725,30~60
1018동,마곡엠밸리10단지,2016,개인, , ,136000,14,3,2025,중개거래,서울 강서구,84.89,10,747,N,25.07.15,11500,개인,마곡동,9,0,2025-03,1,서울 강서구,서울 강서구 마곡동 747,1,37.5592884593333,126.81932504091,60~90
106,동성,1993,개인, , ,60000,28,3,2025,중개거래,서울 강서구,64.65,1,817,N,25.04.24,11500,개인,방화동,32,0,2025-03,1,서울 강서구,서울 강서구 방화동 817,1,37.579602932122,126.812182127338,60~90
 ,태영,1999,개인, , ,70000,26,3,2025,직거래, ,84.93,2,270-1,N, ,11500,개인,염창동,26,0,2025-03,1, ,  염창동 270-1,1,37.5533776970786,126.867211516118,60~90
603,가양6단지,1992,개인, , ,73500,11,3,2025,중개거래,서울 강서구,49.5,10,1485,N,25.06.09,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1485,1,37.5632291233676,126.859294056062,30~60
101동,신마곡벽산블루밍,2020,개인, , ,89500,26,3,2025,직거래, ,72.8607,5,904,N,25.06.25,11500,개인,방화동,5,0,2025-03,1, ,  방화동 904,1,37.5712896980823,126.808179412194,60~90
101,화곡1차보람더하임,2003,개인, , ,40000,26,3,2025,직거래, ,68.37,11,1087,N,25.04.23,11500,개인,화곡동,22,0,2025-03,1, ,  화곡동 1087,0,37.5383617579482,126.834992940937,60~90
1,NS파크APT,2018,개인, , ,25500,26,3,2025,중개거래,서울 강서구,29.93,4,1076-9,N,25.05.27,11500,개인,화곡동,7,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1076-9,1,37.5409500349642,126.841689303276,~30
612,가양6단지,1992,개인, , ,79000,29,3,2025,중개거래,"서울 강서구, 서울 용산구",49.5,15,1485,N,25.06.20,11500,개인,가양동,33,1,2025-03,1,서울 강서구,서울 강서구 가양동 1485,1,37.5632291233676,126.859294056062,30~60
 ,우장산롯데캐슬,2003,개인,25.07.01,O,110000,29,3,2025,중개거래,서울 강서구,85.0,14,1145,N, ,11500,개인,화곡동,22,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1145,0,37.5556368030986,126.848318501804,60~90
 ,빛고을우방,1999,개인, , ,75500,26,3,2025,중개거래,서울 강서구,59.97,15,448-9,N, ,11500,개인,가양동,26,1,2025-03,1,서울 강서구,서울 강서구 가양동 448-9,1,37.5601069146431,126.857950252379,30~60
 ,강변,1992,개인,25.06.10,O,73000,29,3,2025,중개거래,서울 강서구,49.5,4,1475,N, ,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1475,1,37.5652163063579,126.855667621933,30~60
305,동아3,1999,개인, , ,105000,25,3,2025,중개거래,서울 강서구,84.87,15,258-1,N,25.07.25,11500,개인,염창동,26,1,2025-03,1,서울 강서구,서울 강서구 염창동 258-1,1,37.5501995704814,126.877425235008,60~90
 ,동아3,1999,개인, , ,81500,24,3,2025,중개거래,서울 강서구,59.7,3,258-1,N, ,11500,개인,염창동,26,0,2025-03,1,서울 강서구,서울 강서구 염창동 258-1,1,37.5501995704814,126.877425235008,30~60
607,가양6단지,1992,개인, , ,83500,4,3,2025,중개거래,서울 강서구,58.65,14,1485,N,25.06.30,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1485,1,37.5632291233676,126.859294056062,30~60
 ,우장산타워빌,2002,개인, , ,69500,26,3,2025,중개거래,서울 강서구,83.8,3,704-2,N,25.06.16,11500,개인,내발산동,23,0,2025-03,1,서울 강서구,서울 강서구 내발산동 704-2,1,37.5519314698112,126.838349239637,60~90
 ,길성그랑프리텔,2002,개인, , ,75000,21,3,2025,중개거래,서울 강서구,62.65,5,867,N,25.05.16,11500,개인,방화동,23,0,2025-03,1,서울 강서구,서울 강서구 방화동 867,1,37.569183074574,126.816100583063,60~90
103,삼정그린코아,2001,개인, , ,104500,24,3,2025,중개거래,서울 강서구,84.358,8,282,N,25.06.09,11500,개인,염창동,24,0,2025-03,1,서울 강서구,서울 강서구 염창동 282,1,37.5479652131545,126.874704745545,60~90
 ,세한(410-150),2001,개인, , ,30000,27,3,2025,중개거래,서울 강서구,72.99,2,410-150,N,25.05.16,11500,개인,화곡동,24,0,2025-03,1,서울 강서구,서울 강서구 화곡동 410-150,0,37.5379252985102,126.850759546102,60~90
1동,마곡에이치밸리움,2023,개인, , ,72500,28,3,2025,중개거래,서울 강서구,52.218,5,764,N,25.05.29,11500,개인,내발산동,2,0,2025-03,1,서울 강서구,서울 강서구 내발산동 764,0,37.5571689288767,126.844084543192,30~60
101,삼성하나로,1994,개인, , ,59500,29,3,2025,중개거래,서울 강서구,59.26,1,248-3,N,25.06.27,11500,개인,염창동,31,0,2025-03,1,서울 강서구,서울 강서구 염창동 248-3,0,37.5516297228771,126.871906542332,30~60
113,강서힐스테이트,2015,개인, , ,136000,24,3,2025,중개거래,서울 강서구,84.99,11,1165,N,25.07.02,11500,개인,화곡동,10,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1165,1,37.5466340065991,126.840034541157,60~90
101,무학,1999,개인, , ,70500,8,3,2025,중개거래,서울 강서구,59.38,2,255,N,25.06.09,11500,개인,염창동,26,0,2025-03,1,서울 강서구,서울 강서구 염창동 255,0,37.5513949211236,126.876557322294,30~60
202,가양2단지(성지),1992,개인, , ,60000,27,3,2025,중개거래,"경기 남양주시, 서울 강서구",39.6,9,1461,N,25.07.25,11500,개인,가양동,33,0,2025-03,1,경기 남양주시,경기 남양주시 가양동 1461,0,,,30~60
 ,성재센트리움아파트(343-35),2015,개인, , ,22500,28,3,2025,직거래, ,22.52,7,343-35,N,25.04.17,11500,개인,화곡동,10,0,2025-03,1, ,  화곡동 343-35,1,37.531551713971,126.84605623801,~30
103,우장산롯데,2004,개인, , ,78000,27,3,2025,중개거래,서울 강서구,84.98,6,1148,N,25.06.12,11500,개인,화곡동,21,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1148,0,37.552461665687,126.846487416103,60~90
109,강서힐스테이트,2015,개인, , ,115000,8,3,2025,중개거래,서울 강서구,59.99,15,1165,N,25.06.13,11500,개인,화곡동,10,1,2025-03,1,서울 강서구,서울 강서구 화곡동 1165,1,37.5466340065991,126.840034541157,30~60
202,가양2단지(성지),1992,개인, , ,60800,20,3,2025,중개거래,서울 강서구,39.6,14,1461,N,25.06.27,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1461,0,37.5704957193283,126.847174411361,30~60
104,강변한솔솔파크,2005,개인, , ,101000,28,3,2025,중개거래,"서울 강서구, 서울 영등포구",84.97,7,300,N,25.06.17,11500,개인,염창동,20,0,2025-03,1,서울 강서구,서울 강서구 염창동 300,0,37.5566842439508,126.866552401948,60~90
805,"등촌7,8단지주공아파트",1994,개인, , ,57500,21,3,2025,중개거래,서울 강서구,41.85,13,707,N,25.06.30,11500,개인,등촌동,31,0,2025-03,1,서울 강서구,서울 강서구 등촌동 707,1,37.56080406349,126.851687961989,30~60
 ,강변,1992,개인, , ,58000,29,3,2025,중개거래,서울 강서구,39.6,6,1475,N, ,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1475,1,37.5652163063579,126.855667621933,30~60
122,등촌동아이파크,2004,개인, , ,97000,28,3,2025,중개거래,서울 강서구,84.9958,10,715,N,25.06.30,11500,개인,등촌동,21,0,2025-03,1,서울 강서구,서울 강서구 등촌동 715,0,37.5439005769284,126.859981715413,60~90
105,무학,1999,개인, , ,72700,27,3,2025,중개거래,서울 강서구,59.38,4,255,N,25.06.05,11500,개인,염창동,26,0,2025-03,1,서울 강서구,서울 강서구 염창동 255,0,37.5513949211236,126.876557322294,30~60
129,강서힐스테이트,2015,개인, , ,115000,19,3,2025,중개거래,서울 강서구,59.99,19,1165,N,25.06.30,11500,개인,화곡동,10,1,2025-03,1,서울 강서구,서울 강서구 화곡동 1165,1,37.5466340065991,126.840034541157,30~60
 ,마곡엠벨리(14단지),2014,개인,25.05.07,O,178000,29,3,2025,중개거래,서울 강서구,114.86,6,750,N, ,11500,개인,마곡동,11,0,2025-03,1,서울 강서구,서울 강서구 마곡동 750,1,37.5568364485914,126.824616701317,90~120
101,빛고을우방,1999,개인, , ,78000,15,3,2025,중개거래,서울 강서구,84.9,18,448-9,N,25.05.27,11500,개인,가양동,26,1,2025-03,1,서울 강서구,서울 강서구 가양동 448-9,1,37.5601069146431,126.857950252379,60~90
1201,마곡중앙하이츠아파트,1994,개인, , ,38000,24,3,2025,중개거래,서울 강서구,39.58,4,852,N,25.07.03,11500,개인,방화동,31,0,2025-03,1,서울 강서구,서울 강서구 방화동 852,1,37.5698046000523,126.806639355477,30~60
304,강변,1992,개인, , ,53400,18,3,2025,중개거래,서울 강서구,34.44,15,1475,N,25.07.31,11500,개인,가양동,33,1,2025-03,1,서울 강서구,서울 강서구 가양동 1475,1,37.5652163063579,126.855667621933,30~60
101,방화3차우림필유,2005,개인, , ,71000,31,3,2025,중개거래,서울 강서구,84.57,5,546-1,N,25.04.30,11500,개인,방화동,20,0,2025-03,1,서울 강서구,서울 강서구 방화동 546-1,1,37.5682727499685,126.808198355281,60~90
 ,강서힐스테이트,2015,개인,25.04.18,O,115000,8,3,2025,중개거래,서울 강서구,59.99,15,1165,N, ,11500,개인,화곡동,10,1,2025-03,1,서울 강서구,서울 강서구 화곡동 1165,1,37.5466340065991,126.840034541157,30~60
3,염창동한강우성,1990,개인, , ,70150,25,3,2025,중개거래,서울 강서구,65.88,4,66-9,N,25.05.30,11500,개인,염창동,35,0,2025-03,1,서울 강서구,서울 강서구 염창동 66-9,0,37.5557364730159,126.870260078656,60~90
130,화곡푸르지오,2002,개인, , ,121000,25,3,2025,중개거래,서울 강서구,144.123,3,1091,N,25.05.16,11500,개인,화곡동,23,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1091,0,37.5446220190794,126.831442765438,120~150
103,관음삼성,1997,개인, , ,80500,22,3,2025,중개거래,서울 강서구,59.96,19,268,N,25.06.04,11500,개인,염창동,28,1,2025-03,1,서울 강서구,서울 강서구 염창동 268,1,37.5525918225659,126.869126258107,30~60
101,삼성하나로,1994,개인, , ,58000,29,3,2025,중개거래,서울 강서구,59.26,3,248-3,N,25.05.16,11500,개인,염창동,31,0,2025-03,1,서울 강서구,서울 강서구 염창동 248-3,0,37.5516297228771,126.871906542332,30~60
307,주공3,1995,개인, , ,80000,26,3,2025,중개거래,서울 강서구,58.14,4,688,N,25.05.16,11500,개인,등촌동,30,0,2025-03,1,서울 강서구,서울 강서구 등촌동 688,1,37.5616418349754,126.841111422493,30~60
102,가양강나루현대,1999,개인, , ,85000,29,3,2025,중개거래,서울 강서구,59.76,8,448-1,N,25.06.26,11500,개인,가양동,26,0,2025-03,1,서울 강서구,서울 강서구 가양동 448-1,1,37.5607561619781,126.856971359725,30~60
609,가양6단지,1992,개인, , ,65000,26,3,2025,중개거래,"서울 강서구, 서울 금천구",39.6,7,1485,N,25.06.27,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1485,1,37.5632291233676,126.859294056062,30~60
104,현대1,1994,개인, , ,85500,29,3,2025,중개거래,"서울 강서구, 서울 서초구",84.34,5,288,N,25.06.24,11500,개인,염창동,31,0,2025-03,1,서울 강서구,서울 강서구 염창동 288,0,37.552852468414,126.875104087032,60~90
 ,청솔,1994,개인, , ,42800,26,3,2025,중개거래,서울 강서구,39.36,9,832,N, ,11500,개인,방화동,31,0,2025-03,1,서울 강서구,서울 강서구 방화동 832,1,37.5756309765944,126.812965285254,30~60
102,한진로즈힐,2004,개인, , ,80500,24,3,2025,중개거래,서울 강서구,84.93,3,579,N,25.06.30,11500,개인,방화동,21,0,2025-03,1,서울 강서구,서울 강서구 방화동 579,0,37.5715416391155,126.81336525129,60~90
301,염창3차보람,2006,개인, , ,81000,24,3,2025,중개거래,서울 강서구,84.98,8,301,N,25.07.21,11500,개인,염창동,19,0,2025-03,1,서울 강서구,서울 강서구 염창동 301,0,37.5528773294775,126.873826815673,60~90
303,강변,1992,개인, , ,73000,20,3,2025,중개거래,서울 강서구,49.5,1,1475,N,25.07.01,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1475,1,37.5652163063579,126.855667621933,30~60
 ,부영,1994,개인, , ,88400,8,3,2025,중개거래,서울 강서구,80.64,5,691-3,N, ,11500,개인,등촌동,31,0,2025-03,1,서울 강서구,서울 강서구 등촌동 691-3,0,37.5635578457422,126.843641011129,60~90
102,강변한솔솔파크,2005,개인, , ,105000,29,3,2025,중개거래,서울 강서구,84.97,24,300,N,25.06.10,11500,개인,염창동,20,1,2025-03,1,서울 강서구,서울 강서구 염창동 300,0,37.5566842439508,126.866552401948,60~90
103,장미,1994,개인, , ,42300,22,3,2025,중개거래,서울 강서구,39.96,4,841,N,25.06.05,11500,개인,방화동,31,0,2025-03,1,서울 강서구,서울 강서구 방화동 841,0,37.5742998188535,126.81749374049,30~60
215,방화그린,1993,개인, , ,42450,22,3,2025,중개거래,서울 강서구,39.76,15,839,N,25.06.26,11500,개인,방화동,32,1,2025-03,1,서울 강서구,서울 강서구 방화동 839,0,37.5747821264629,126.818960346599,30~60
102,강서쌍용예가,2014,개인, , ,89000,5,3,2025,중개거래,"서울 강서구, 서울 구로구",59.9194,5,308,N,25.05.02,11500,개인,염창동,11,0,2025-03,1,서울 강서구,서울 강서구 염창동 308,0,37.5554016793389,126.866556386664,30~60
302,강변,1992,개인, , ,53600,24,3,2025,중개거래,서울 강서구,34.44,15,1475,N,25.06.19,11500,개인,가양동,33,1,2025-03,1,서울 강서구,서울 강서구 가양동 1475,1,37.5652163063579,126.855667621933,30~60
101,마곡서광(치현마을),1998,개인, , ,54500,27,3,2025,중개거래,서울 강서구,59.67,9,860,N,25.05.22,11500,개인,방화동,27,0,2025-03,1,서울 강서구,서울 강서구 방화동 860,0,37.5793097745828,126.819298295646,30~60
101,이너스내안에,2004,개인, , ,78000,31,3,2025,중개거래,서울 강서구,84.91,1,254-2,N,25.06.27,11500,개인,염창동,21,0,2025-03,1,서울 강서구,서울 강서구 염창동 254-2,1,37.5507409739319,126.876382201086,60~90
101,방신서광,2003,개인, , ,67500,5,3,2025,중개거래,서울 강서구,84.3819,2,871,N,25.05.19,11500,개인,방화동,22,0,2025-03,1,서울 강서구,서울 강서구 방화동 871,1,37.5720215579008,126.81068023575,60~90
103,가양우성,1990,개인, , ,93000,30,3,2025,중개거래,서울 강서구,84.87,4,14-3,N,25.06.12,11500,개인,가양동,35,0,2025-03,1,서울 강서구,서울 강서구 가양동 14-3,1,37.5622291386486,126.854195547538,60~90
505,주공5,1995,개인, , ,77900,17,3,2025,중개거래,서울 강서구,58.14,9,695,N,25.06.20,11500,개인,등촌동,30,0,2025-03,1,서울 강서구,서울 강서구 등촌동 695,0,37.5604516606831,126.84486883674,30~60
102,가양우성,1990,개인, , ,91000,14,3,2025,중개거래,서울 강서구,84.85,13,14-3,N,25.07.23,11500,개인,가양동,35,0,2025-03,1,서울 강서구,서울 강서구 가양동 14-3,1,37.5622291386486,126.854195547538,60~90
 ,신송타워,1997,개인, , ,51500,29,3,2025,중개거래,서울 강서구,59.97,7,662-3,N,25.05.29,11500,개인,등촌동,28,0,2025-03,1,서울 강서구,서울 강서구 등촌동 662-3,0,37.5584659129699,126.847813313401,30~60
107,동성,1993,개인, , ,75000,28,3,2025,중개거래,서울 강서구,76.8,11,817,N,25.04.21,11500,개인,방화동,32,0,2025-03,1,서울 강서구,서울 강서구 방화동 817,1,37.579602932122,126.812182127338,60~90
135,강서힐스테이트,2015,개인, , ,133500,29,3,2025,중개거래,서울 강서구,84.99,13,1165,N,25.07.03,11500,개인,화곡동,10,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1165,1,37.5466340065991,126.840034541157,60~90
101,부영,1994,개인, , ,89400,27,3,2025,중개거래,서울 강서구,80.64,11,691-3,N,25.06.26,11500,개인,등촌동,31,0,2025-03,1,서울 강서구,서울 강서구 등촌동 691-3,0,37.5635578457422,126.843641011129,60~90
 ,스위트드림아파트,2019,개인,25.05.13,O,43000,29,3,2025,중개거래,서울 강서구,49.53,4,1168,N, ,11500,법인,화곡동,6,0,2025-03,1,서울 강서구,서울 강서구 화곡동 1168,1,37.5439270920666,126.836189632424,30~60
 ,벽산,1999,개인, , ,72000,18,3,2025,중개거래,서울 강서구,59.98,16,429,N, ,11500,개인,마곡동,26,1,2025-03,1,서울 강서구,서울 강서구 마곡동 429,0,37.5757346149338,126.837836153319,30~60
 ,성재센트리움아파트,2017,개인, , ,23500,25,3,2025,중개거래,서울 강서구,29.75,6,143-11,N, ,11500,개인,화곡동,8,0,2025-03,1,서울 강서구,서울 강서구 화곡동 143-11,1,37.5412863640374,126.841880723977,~30
506,방화5,1994,개인, , ,40000,31,3,2025,중개거래,서울 강서구,33.18,6,814,N,25.06.30,11500,개인,방화동,31,0,2025-03,1,서울 강서구,서울 강서구 방화동 814,1,37.5771889702167,126.810252932489,30~60
615,가양6단지,1992,개인, , ,61500,22,3,2025,중개거래,서울 강서구,39.6,6,1485,N,25.06.20,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1485,1,37.5632291233676,126.859294056062,30~60
107,화곡푸르지오,2002,개인, , ,110900,8,3,2025,중개거래,서울 양천구,130.279,7,1091,N,25.06.10,11500,개인,화곡동,23,0,2025-03,1,서울 양천구,서울 양천구 화곡동 1091,0,,,120~150
